,ReviewID,SKU,CustomerName,Star,Keyword,Reviews,ReviewDate
0,1,6047800,Family,5,What a treat,I'm old.  I missed actual photos.  So now I'm cranking out great quality shots of some important moments. Brilliant choice to treat myself to this printer.,1 year ago
1,2,6047800,LesCast13,5,Good for scrapbooking,"The prints are cheaper then buying instax cartridges , which are about .75 cents a print and with the selphy its 100prints /40$ ( 40 cents a print) and they are full size print outs ( 4*6in ) for a 12*12 scrapbook .",1 year ago
2,3,6047800,Tyron,5,PERFECT,Wife loves this. She is able to print pictures on the go and not have to worry about noisy employees when getting photos developed.,1 month ago
3,4,6047800,Zach,5,Good picture printer overall.,"Love it. East to put together. Perfect size to have at home and not take much room. Prints very nicely and gives confidence on not having to spend crazy amount of money getting a picture printed, simple to install and connect to my computer and phone.

I like my purchase and am happy with it, has an excellent value.",8 months ago
4,5,6047800,Buen0,5,Y,"the product is perfect, recomendado buenas fotos me gusta.",9 months ago
5,6,6047800,Laurie,5,Great compact printer,I was looking for a small printer to take with me on trips. This fits the ticket perfectly. I’m 68 yrs old and not that savvy with electronics. I got the printer going I no time. I did read through the online Manuel. I printed two images from a flash drive and one with WiFi from my IPad.,3 years ago
6,7,6047800,Yohn86,5,Best affordable printer,Got this for my girlfriend so she can stop going other places to print pictures. Works great recommend getting more ink cartridges & Photo paper. The picture quality is excellent. Easy set up & pair with any devices. Me and my girlfriend can’t stop printing now,6 months ago
7,8,6047800,Ethel,5,Mother’s Day gift,"We bought this for my mom for Mother’s Day. She isn’t good with technology and it was easily set up for her to be able to use without difficulty. No computer needed for setup. Just connect to wifi, or use the printers own WiFi to connect your device to. Very easy setup and very easy to use. Great picture quality and fast.",1 year ago
8,9,6047800,eurob,4,Very nice quality color pictures.,"This printer is pretty amazing. The pictures are very good, colors are very nice. I'd choose this over a Polaroid camera. Works very well with my android phone (Pixel 3) because Canon has a great app to make the printing process very easy. Printing from a computer however is a bit more difficult in that the WIFI setup is not so easy. If you have a WPS button on your router it might work. I didn't have that but was able to set it up manually via the interface on the printer. But my computer still didn't see the printer as a new wireless device. I had to connect via USB cable which worked fine. It's also super easy to insert the cartridge and photo paper. Make sure to buy the correct paper that works with this printer. Other formats will not work. Very happy with this product.",1 year ago
9,10,6047800,Rita,5,Great Photo Printer,"I was looking for a photo printer & all the ones I found only printed 2x3 pictures & I wanted one that printed 4x6 pictures. I found the Canon Selphy & it doesn’t disappoint. I was able to put my memory card in & choose the pictures I wanted to print out. I haven’t read the instructions yet to see what more I can do with it, but it was real easy to use. The one thing you have to be careful of is not to touch the glossy part of the paper because the ink will stick to the oil that comes from your fingers & you’ll see it on the picture. This printer is easy to use & very compact. There is also a place in back for a battery pack that you can buy from Canon to make the printer more portable. I’m glad that I made this purchase.",2 years ago
10,11,6047800,Macapple,1,Canon cp1300,Used it only twice and now its frozen wont turn on,3 months ago
11,12,6047800,sejohnson,5,Canyon selphy cp 1300,"Easy set up, pictures come out clear and bright! I'm very satisfied with my decision to purchase this product.",7 months ago
12,13,6047800,Victor,5,Great printer to go,"This is a very good quality printer for the price, I recommend it 100% you can bring it to a birthday party o wedding or any party and share those great memories with your friends",3 years ago
13,14,6047800,Vinni,5,Great printer for iPhone pictures,Really good printer. Easy set up to get started. Post card function slows mailing photo at post card price to family and friends.,2 years ago
14,15,6047800,USParagliding,5,ink never dries,"This little printer is amazing.  we use it for quick phone photos prints at our paragliding school.  If we don't use it for months there is no worry of ink drying out.  Its an awesome printer and great software on line via your phone apps.  awesome videos on line and it way better than all the small HPs.  Quality is surprisingly good.  I recommend getting the case for it and plenty of paper and cartridges  loads of fun for kids party's as well.    Ride the Sky

US Paragliding",1 year ago
15,16,6047800,Rosie,5,Great compact printer for me as a beginner,I love this printer so easy to use and great photos,3 years ago
16,17,6047800,Von888,5,Best Portable Printer,"I bought this printer so that i can print photos while in field. I pair it woth my ipad pro. After editing it, i print it and hand it to my client and they like it i get more business doing this method. I highly recommend it.",3 years ago
17,18,6047800,BlessedGma,5,Great Compact Printer,I am really enjoying my wireless compact printer it takes really good post card size pictures with great color and its great because you buy the photo paper it has the ink it needs so you don’t have to buy both like my big printer and it prints really quick and you can take any where you have WiFi to print,1 year ago
18,19,6047800,Charles,5,The little printer .,Excellent photo printer that produces true quality images with actual ink not like the other  Polaroid style printers. I had a little bit of a delay on setup with my WiFi but once I got past the setup it was smooth sailing. Be sure not to put the printer up against a wall because the paper scans back and forth through the printer. Out the front and out the rear. Very easy to use with the canon app.,1 year ago
19,20,6047800,Clyde,5,Be sure to get the correct Selphy paper!,"This is a great 4x6 printer, but be warned that it does not use standard 4x6 glossy photo paper. It takes special Selphy paper and ink, Canon RP-108. I purchased standard Canon 4x6 photo paper, Canon PP-301, but it unfortunately does not fit the Selphy printer. Because we opened the paper package before we discovered that it does not fit the Selphy cassette, we cannot return the paper so we now have 100 sheets we cannot use. The information on line from Best Buy and Canon is not clear about the need for special paper. Once you have the correct paper and ink, the printer works like a charm.",3 years ago
